Field,Year,Years.S.1976,Crop, Org.C,switched
29,1976,0,Cereal,0.62,0
29,1977,1,Cereal,,0
29,1978,2,Cereal,0.84,0
29,1979,3,Cereal,0.67,0
29,1980,4,Cereal,0.71,0
29,1981,5,Cereal,0.94,0
29,1982,6,Cereal,0.885,0
29,1983,7,Cereal,,0
29,1984,8,Cereal,0.8725,0
29,1985,9,Cereal,0.865,0
29,1986,10,Cereal,1.035,0
29,1987,11,Cereal,1.0775,0
29,1988,12,Cereal,0.898,0
29,1989,13,Cereal,1.07,0
29,1990,14,Cereal,0.974,0
29,1991,15,Cereal,1.04,0
29,1992,16,Cereal,1.08,0
29,1993,17,Cereal,0.92,0
29,1994,18,Cereal,1.03,0
29,1995,19,Cereal,0.96,0
29,1996,20,Cereal,0.89,0
29,1997,21,Cereal,0.76,0
29,1998,22,Cereal,1.08,0
29,1999,23,Cereal,0.94,0
29,2000,24,Cereal,0.81,0
29,2001,25,Cereal,0.86,0
29,2002,26,Cereal,0.96,0
29,2003,27,Cereal,0.913,0
29,2004,28,Cereal,0.9,0
29,2005,29,Cereal,1.12,0
29,2006,30,Cereal,0.96,0
50,1976,0,Cereal,,0
50,1977,1,Cereal,0.62,0
50,1978,2,Cereal,0.94,0
50,1979,3,Cereal,0.74,0
50,1980,4,Cereal,0.89,0
50,1981,5,Cereal,1.21,0
50,1982,6,Cereal,0.905,0
50,1983,7,Cereal,0.915,0
50,1984,8,Cereal,0.8225,0
50,1985,9,Cereal,0.93,0
50,1986,10,Cereal,0.97,0
50,1987,11,Cereal,1.0525,0
50,1988,12,Cereal,0.94075,0
50,1989,13,Cereal,0.975,0
50,1990,14,Cereal,1.13875,0
50,1991,15,Cereal,1.09,0
50,1992,16,Cereal,1.15,0
50,1993,17,Cereal,1.43,0
50,1994,18,Cereal,1.17,0
50,1995,19,Cereal,1.22,0
50,1996,20,Cereal,1.09,0
50,1997,21,Cereal,1.19,0
50,1998,22,Cereal,1.23,0
50,1999,23,Cereal,1.09,0
50,2000,24,Cereal,1.07,0
50,2001,25,Cereal,0.96,0
50,2002,26,Cereal,1.27,0
50,2003,27,Cereal,0.97,0
50,2004,28,Cereal,,0
50,2005,29,Cereal,,0
50,2006,30,Cereal,1.41,0
18-1,1976,0,Cereal,1.14,0
18-1,1977,1,Cereal,,0
18-1,1978,2,Cereal,0.735,0
18-1,1979,3,Cereal,,0
18-1,1980,4,Cereal,0.945,0
18-1,1981,5,Cereal,1.225,0
18-1,1982,6,Cereal,1.285,0
18-1,1983,7,Cereal,,0
18-1,1984,8,Cereal,0.91,0
18-1,1985,9,Cereal,0.91,0
18-1,1986,10,Cereal,0.91,0
18-1,1987,11,Cereal,1.035,0
18-1,1988,12,Cereal,1.16,0
18-1,1989,13,Cereal,1.0665,0
18-1,1990,14,Cereal,,0
18-1,1991,15,Cereal,,0
18-1,1992,16,Cereal,,0
18-1,1993,17,Cereal,,0
18-1,1994,18,Cereal,0.8955,0
18-1,1995,19,Cereal,1.145,0
18-1,1996,20,Cereal,1.2215,0
18-1,1997,21,Cereal,0.8865,0
18-1,1998,22,Cereal,,0
18-1,1999,23,Cereal,,0
18-1,2000,24,Cereal,0.8037,0
18-1,2001,25,Cereal,,0
18-1,2002,26,Cereal,1.28,0
18-1,2003,27,Cereal,0.89115,0
18-1,2004,28,Cereal,,0
18-1,2005,29,Cereal,0.96,0
18-1,2006,30,Cereal,1.2,0
38A,1976,0,Hay,,0
38A,1977,1,Hay,,0
38A,1978,2,Hay,,0
38A,1979,3,Hay,0.745,0
38A,1980,4,Hay,0.52,0
38A,1981,5,Hay,0.78,0
38A,1982,6,Hay,1.3125,0
38A,1983,7,Hay,1.3775,0
38A,1984,8,Hay,1.2825,0
38A,1985,9,Hay,1.27,0
38A,1986,10,Hay,1.615,0
38A,1987,11,Hay,1.6075,0
38A,1988,12,Hay,1.605,0
38A,1989,13,Hay,1.725,0
38A,1990,14,Hay,0.786675,0
38A,1991,15,Hay,1.46,0
38A,1992,16,Hay,1.14,0
38A,1993,17,Hay,1.35,0
38A,1994,18,Hay,1.36,0
38A,1995,19,Hay,1.31,0
38A,1996,20,Cereal,1.5,0
38A,1997,21,Cereal,1.33,0
38A,1998,22,Cereal,1.45,0
38A,1999,23,Cereal,1.45,0
38A,2000,24,Cereal,1.36,0
38A,2001,25,Cereal,1.59,0
38A,2002,26,Cereal,1.14,0
38A,2003,27,Cereal,1.4,0
38A,2004,28,Cereal,,0
38A,2005,29,Cereal,,0
38A,2006,30,Cereal,1.51,0
38C,1976,0,Hay,,0
38C,1977,1,Hay,,0
38C,1978,2,Hay,,0
38C,1979,3,Hay,0.585,0
38C,1980,4,Hay,0.535,0
38C,1981,5,Hay,0.75,0
38C,1982,6,Hay,1.075,0
38C,1983,7,Hay,0.96,0
38C,1984,8,Hay,0.995,0
38C,1985,9,Hay,1,0
38C,1986,10,Hay,1.045,0
38C,1987,11,Hay,1.225,0
38C,1988,12,Hay,1.0285,0
38C,1989,13,Hay,1.025,0
38C,1990,14,Hay,1.1775,0
38C,1991,15,Hay,1.42,0
38C,1992,16,Hay,1.44,0
38C,1993,17,Hay,1.18,0
38C,1994,18,Hay,1.27,0
38C,1995,19,Hay,1.4,0
38C,1996,20,Cereal,1.37,0
38C,1997,21,Cereal,1.16,0
38C,1998,22,Cereal,1.17,0
38C,1999,23,Cereal,1.52,0
38C,2000,24,Cereal,1.27,0
38C,2001,25,Cereal,1.23,0
38C,2002,26,Cereal,1.12,0
38C,2003,27,Cereal,1.21,0
38C,2004,28,Cereal,,0
38C,2005,29,Cereal,,0
38C,2006,30,Cereal,1.6,0
24,1979,3,Hay,0.48,0
24,1980,4,Hay,0.44,0
24,1981,5,Hay,0.71,0
24,1982,6,Hay,0.8075,0
24,1983,7,Hay,0.75,0
24,1984,8,Hay,0.8675,0
24,1985,9,Hay,0.845,0
24,1986,10,Hay,0.845,0
24,1987,11,Hay,0.82525,0
24,1988,12,Hay,1.02425,0
24,1989,13,Hay,1.135,0
24,1990,14,Hay,1.004575,0
24,1991,15,Hay,1.13,0
24,1992,16,Hay,1.58,0
24,1993,17,Hay,1.15,0
24,1994,18,Hay,0.87,0
24,1995,19,Hay,1.03,0
24,1996,20,Crop,0.91,0
24,1997,21,Crop,1.11,0
24,1998,22,Crop,0.91,0
24,1999,23,Crop,0.92,0
24,2000,24,Crop,0.79,0
24,2001,25,Crop,1.05,0
24,2002,26,Crop,1.2,0
24,2003,27,Crop,0.95,0
24,2004,28,Crop,,0
24,2005,29,Crop,,0
24,2006,30,Crop,1.16,0
52,1976,0,Hay,0.63,0
52,1978,2,Hay,0.84,0
52,1979,3,Hay,0.79,0
52,1980,4,Hay,0.78,0
52,1981,5,Hay,1.07,0
52,1982,6,Hay,0.895,0
52,1983,7,Hay,0.99,0
52,1984,8,Hay,0.985,0
52,1985,9,Hay,0.975,0
52,1986,10,Hay,1.06,0
52,1987,11,Hay,1.19,0
52,1988,12,Hay,1.21,0
52,1989,13,Hay,1.145,0
52,1990,14,Hay,1.36075,0
52,1991,15,Hay,1.14,0
52,1992,16,Hay,1.35,0
52,1993,17,Crop,1.39,0
52,1994,18,Crop,1.37,0
52,1995,19,Crop,1.33,0
52,1996,20,Crop,1.05,0
52,1997,21,Crop,1.42,0
52,1998,22,Crop,1.28,0
52,1999,23,Crop,1.04,0
52,2000,24,Crop,0.89,0
52,2001,25,Crop,0.96,0
52,2002,26,Crop,1.13,0
52,2003,27,Crop,1.11,0
52,2006,30,Crop,1.05,0
54,1976,0,Hay,1.3,0
54,1978,2,Hay,1.41,0
54,1979,3,Hay,1.52,0
54,1980,4,Hay,2.05,0
54,1981,5,Hay,2.34,0
54,1982,6,Hay,1.87,0
54,1983,7,Hay,1.58,0
54,1984,8,Hay,1.5675,0
54,1985,9,Hay,1.92,0
54,1986,10,Hay,1.6,0
54,1987,11,Hay,1.7175,0
54,1988,12,Hay,1.7,0
54,1989,13,Hay,1.65,0
54,1990,14,Hay,1.19775,0
54,1991,15,Hay,1.94,0
54,1992,16,Crop,1.94,0
54,1993,17,Crop,1.88,0
54,1994,18,Crop,1.71,0
54,1995,19,Crop,1.87,0
54,1996,20,Crop,1.91,0
54,1997,21,Crop,1.73,0
54,1998,22,Crop,1.63,0
54,1999,23,Crop,1.47,0
54,2000,24,Crop,1.78,0
54,2001,25,Crop,1.27,0
54,2002,26,Crop,1.86,0
54,2003,27,Crop,1.63,0
54,2006,30,Crop,1.51,0
55,1976,0,Hay,1.33,0
55,1978,2,Hay,1.12,0
55,1979,3,Hay,1.48,0
55,1980,4,Hay,1.41,0
55,1981,5,Hay,1.63,0
55,1982,6,Hay,1.7775,0
55,1983,7,Hay,1.5125,0
55,1984,8,Hay,1.715,0
55,1985,9,Hay,1.68,0
55,1986,10,Hay,1.825,0
55,1987,11,Hay,1.78,0
55,1988,12,Hay,1.5675,0
55,1989,13,Hay,1.74,0
55,1990,14,Crop,1.2105,0
55,1991,15,Crop,1.71,0
55,1992,16,Crop,1.86,0
55,1993,17,Crop,1.88,0
55,1994,18,Crop,1.74,0
55,1995,19,Crop,2.1,0
55,1996,20,Crop,1.69,0
55,1997,21,Crop,1.81,0
55,1998,22,Crop,1.61,0
55,1999,23,Crop,1.66,0
55,2000,24,Crop,1.56,0
55,2001,25,Crop,1.28,0
55,2002,26,Crop,1.96,0
55,2003,27,Crop,1.49,0
55,2006,30,Crop,1.7,0
56,1977,1,Hay,1.01,0
56,1978,2,Hay,1.34,0
56,1979,3,Hay,1.72,0
56,1980,4,Hay,1.72,0
56,1981,5,Hay,1.66,0
56,1982,6,Hay,1.7725,0
56,1983,7,Hay,1.53,0
56,1984,8,Hay,1.47,0
56,1985,9,Hay,1.425,0
56,1986,10,Hay,1.545,0
56,1987,11,Hay,1.375,0
56,1988,12,Hay,1.335,0
56,1989,13,Hay,1.44,0
56,1990,14,Crop,1.13575,0
56,1991,15,Crop,1.56,0
56,1992,16,Crop,1.55,0
56,1993,17,Crop,1.7,0
56,1994,18,Crop,1.7,0
56,1995,19,Crop,1.64,0
56,1996,20,Crop,1.51,0
56,1997,21,Crop,1.54,0
56,1998,22,Crop,1.53,0
56,1999,23,Crop,1.56,0
56,2000,24,Crop,1.35,0
56,2001,25,Crop,1.28,0
56,2002,26,Crop,1.71,0
56,2003,27,Crop,1.35,0
56,2006,30,Crop,0.98,0
60,1977,1,Hay,0.65,0
60,1978,2,Hay,1.06,0
60,1979,3,Hay,1.26,0
60,1980,4,Hay,1.2,0
60,1981,5,Hay,1.41,0
60,1982,6,Hay,1.5525,0
60,1983,7,Hay,1.3175,0
60,1984,8,Hay,1.345,0
60,1985,9,Hay,1.685,0
60,1986,10,Hay,1.33,0
60,1987,11,Hay,1.395,0
60,1988,12,Hay,1.2675,0
60,1989,13,Hay,1.62,0
60,1990,14,Hay,1.61175,0
60,1991,15,Hay,1.46,0
60,1992,16,Hay,1.55,0
60,1993,17,Hay,1.89,0
60,1994,18,Crop,1.65,0
60,1995,19,Crop,1.58,0
60,1996,20,Crop,1.83,0
60,1997,21,Crop,1.58,0
60,1998,22,Crop,1.65,0
60,1999,23,Crop,1.37,0
60,2000,24,Crop,1.49,0
60,2001,25,Crop,1.24,0
60,2002,26,Crop,1.51,0
60,2003,27,Crop,1.38,0
60,2006,30,Crop,1.51,0
64,1977,1,Hay.Cereal,0.79,1
64,1978,2,Hay.Cereal,0.77,1
64,1979,3,Hay.Cereal,0.92,1
64,1980,4,Hay.Cereal,1.03,1
64,1981,5,Hay.Cereal,1.17,1
64,1982,6,Hay.Cereal,0.79,1
64,1983,7,Hay.Cereal,1.005,1
64,1984,8,Hay.Cereal,1.055,1
64,1985,9,Hay.Cereal,1.15,1
64,1986,10,Hay.Cereal,1.315,1
64,1987,11,Hay.Cereal,1.185,1
64,1988,12,Hay.Cereal,1.39,1
64,1989,13,Hay.Cereal,1.29,1
64,1990,14,Hay.Cereal,1.23,1
64,1991,15,Hay.Cereal,1.34,1
64,1992,16,Hay.Cereal,1.51,1
64,1993,17,Hay.Cereal,1.49,1
64,1994,18,Hay.Cereal,1.45,1
64,1995,19,Hay.Cereal,1.35,1
64,1996,20,Hay.Cereal,1.17,1
64,1997,21,Hay.Cereal,1.1,1
64,1998,22,Hay.Cereal,1.17,1
64,1999,23,Hay.Cereal,1.2,1
64,2000,24,Hay.Cereal,1.25,1
64,2001,25,Hay.Cereal,1.15,1
64,2002,26,Hay.Cereal,1.48,1
64,2003,27,Hay.Cereal,1.26,1
64,2006,30,Hay.Cereal,1.7,1
65,1976,0,Hay.Cereal,0.62,1
65,1978,2,Hay.Cereal,0.55,1
65,1979,3,Hay.Cereal,0.77,1
65,1980,4,Hay.Cereal,0.83,1
65,1981,5,Hay.Cereal,0.86,1
65,1982,6,Hay.Cereal,0.7125,1
65,1983,7,Hay.Cereal,0.8475,1
65,1984,8,Hay.Cereal,0.86,1
65,1985,9,Hay.Cereal,0.995,1
65,1986,10,Hay.Cereal,1.135,1
65,1987,11,Hay.Cereal,1.1325,1
65,1988,12,Hay.Cereal,1.0825,1
65,1989,13,Hay.Cereal,1.325,1
65,1990,14,Hay.Cereal,1.15775,1
65,1991,15,Hay.Cereal,1.08,1
65,1992,16,Hay.Cereal,1.15,1
65,1993,17,Hay.Cereal,1.28,1
65,1994,18,Hay.Cereal,1.37,1
65,1995,19,Hay.Cereal,1.14,1
65,1996,20,Hay.Cereal,1.32,1
65,1997,21,Hay.Cereal,1.1,1
65,1998,22,Hay.Cereal,1.12,1
65,1999,23,Hay.Cereal,1.12,1
65,2000,24,Hay.Cereal,1.21,1
65,2001,25,Hay.Cereal,1.21,1
65,2002,26,Hay.Cereal,1.27,1
65,2003,27,Hay.Cereal,1.04,1
65,2006,30,Hay.Cereal,1.08,1
53,1977,1,Pasture,1.02,0
53,1978,2,Pasture,1.13,0
53,1979,3,Pasture,1.37,0
53,1980,4,Pasture,1.6,0
53,1981,5,Pasture,1.82,0
53,1982,6,Pasture,2.17,0
53,1983,7,Pasture,1.935,0
53,1984,8,Pasture,1.31,0
53,1985,9,Pasture,1.855,0
53,1986,10,Pasture,1.835,0
53,1987,11,Pasture,1.5275,0
53,1988,12,Pasture,1.4075,0
53,1989,13,Pasture,1.615,0
53,1990,14,Pasture,1.12575,0
53,1991,15,Pasture,2.45,0
53,1992,16,Pasture,2.51,0
53,1993,17,Pasture,2.11,0
53,1994,18,Pasture,1.53,0
53,1995,19,Pasture,1.85,0
53,1996,20,Pasture,1.84,0
53,1997,21,Pasture,1.48,0
53,1998,22,Pasture,1.36,0
53,1999,23,Pasture,1.84,0
53,2000,24,Pasture,1.55,0
53,2001,25,Pasture,1.63,0
53,2002,26,Pasture,2.05,0
53,2003,27,Pasture,1.75,0
53,2006,30,Pasture,1.88,0
57,1977,1,Pasture,0.71,0
57,1978,2,Pasture,0.91,0
57,1979,3,Pasture,0.92,0
57,1980,4,Pasture,0.91,0
57,1981,5,Pasture,0.95,0
57,1982,6,Pasture,1.07,0
57,1983,7,Pasture,1.3025,0
57,1984,8,Pasture,1.3325,0
57,1985,9,Pasture,1.24,0
57,1986,10,Pasture,1.395,0
57,1987,11,Pasture,1.1025,0
57,1988,12,Pasture,1.3525,0
57,1989,13,Pasture,1.365,0
57,1990,14,Pasture,0.7728,0
57,1991,15,Pasture,1.33,0
57,1992,16,Pasture,1.87,0
57,1993,17,Pasture,1.47,0
57,1994,18,Pasture,1.35,0
57,1995,19,Pasture,1.64,0
57,1996,20,Pasture,1.61,0
57,1997,21,Pasture,1.46,0
57,1998,22,Pasture,1.35,0
57,1999,23,Pasture,1.63,0
57,2000,24,Pasture,1.56,0
57,2001,25,Pasture,1.31,0
57,2002,26,Pasture,1.49,0
57,2003,27,Pasture,1.58,0
57,2006,30,Pasture,1.04,0
58,1977,1,Pasture,1.1,0
58,1978,2,Pasture,1.33,0
58,1979,3,Pasture,2.04,0
58,1980,4,Pasture,3.08,0
58,1981,5,Pasture,2.46,0
58,1982,6,Pasture,2.0825,0
58,1983,7,Pasture,1.7125,0
58,1984,8,Pasture,1.5575,0
58,1985,9,Pasture,2.04,0
58,1986,10,Pasture,2.195,0
58,1987,11,Pasture,1.5175,0
58,1988,12,Pasture,1.615,0
58,1989,13,Pasture,1.68,0
58,1990,14,Pasture,1.095325,0
58,1991,15,Pasture,2.36,0
58,1992,16,Pasture,3.49,0
58,1993,17,Pasture,1.84,0
58,1994,18,Pasture,1.77,0
58,1995,19,Pasture,1.41,0
58,1996,20,Pasture,1.88,0
58,1997,21,Pasture,1.54,0
58,1998,22,Pasture,1.65,0
58,1999,23,Pasture,1.99,0
58,2000,24,Pasture,1.71,0
58,2001,25,Pasture,1.4,0
58,2002,26,Pasture,1.53,0
58,2003,27,Pasture,1.64,0
58,2006,30,Pasture,1.98,0
